time_sec,gps_recentLatitudeN,gps_recentLongitudeE,gps_horizontalAccuracy_mm,gps_verticalAccuracy_mm,gps_vehicleHeading_degs,gps_headingAccuracyEstimate_degs,compass_heading_degs
1686563116,13.6486455,100.4649326,14,10,347.09168,12.60152,356.35
1686563117,13.6486465,100.4649325,14,10,33.62669,26.28481,352.57
1686563118,13.6486503,100.4649327,14,10,2.43596,71.91806,348.93
1686563119,13.648653,100.4649327,14,10,358.62672,14.54536,351.35
1686563121,13.6486569,100.4649322,14,10,1.5857,10.31404,352.57
1686563122,13.6486618,100.4649307,14,10,340.15788,16.28912,6.2
1686563123,13.6486635,100.4649303,14,10,357.68704,22.36686,19.65
1686563124,13.6486644,100.4649302,14,10,353.00124,119.95746,37.41
1686563125,13.6486659,100.4649309,14,10,28.88242,28.59389,66.04
1686563126,13.648667,100.4649318,14,10,45.37831,14.04568,80.79
1686563127,13.6486688,100.4649343,14,10,62.97908,14.90854,82.3
1686563128,13.6486692,100.4649382,14,11,102.48002,15.5326,91.59
1686563129,13.6486683,100.464941,14,10,110.441,13.28301,109.54
1686563130,13.6486682,100.4649411,14,10,299.83154,180,131.19
1686563131,13.6486677,100.4649421,14,15,132.3749,24.86982,145.78
1686563132,13.6486669,100.4649433,14,11,138.67126,36.1144,147.38
1686563133,13.648665,100.4649445,14,10,157.02698,19.61251,148.39
1686563135,13.648662,100.4649456,14,10,348.85116,180,147.38
1686563136,13.648662,100.4649455,14,10,348.85116,180,147.38
1686563137,13.648661,100.4649461,14,10,143.88886,21.68785,147.38
1686563138,13.6486577,100.4649485,14,10,154.8383,63.23844,147.38
1686563139,13.6486574,100.4649487,14,10,138.36582,180,147.38
1686563140,13.6486574,100.4649487,14,10,138.36582,141.59946,150.02
1686563141,13.6486574,100.4649487,14,10,138.36582,117.48768,145.78
1686563142,13.6486575,100.4649486,14,10,138.36582,89.5284,154.29
1686563143,13.648657,100.464949,14,10,153.14926,22.11312,162.18
1686563144,13.6486563,100.4649494,14,10,335.69924,117.48226,164.58
1686563145,13.6486567,100.4649493,14,10,150.42496,80.87424,168.31
1686563146,13.6486545,100.4649497,14,10,163.84072,26.35547,174.29
1686563147,13.6486532,100.4649503,14,10,341.9038,84.42998,172.41
1686563148,13.6486522,100.4649503,14,10,183.45932,23.12118,172.15
1686563150,13.6486511,100.4649504,14,10,183.71734,26.84415,174.29
1686563151,13.6486476,100.4649513,14,10,169.96898,13.57465,176.19
1686563152,13.6486447,100.4649522,14,10,138.88468,13.16649,176.19
1686563153,13.6486432,100.4649525,14,10,158.20888,180,170.22
